"interview","собеседование","","","","","","","","","","","","","","","","","","","","","","","",""
"kneel","преклонить колени","","","","","","","","","","","","","","","","","","","","","","","",""
"medical tests","медицинское обследование","","","","","","","","","","","","","","","","","","","","","","","",""
"meeting parents","встреча с родителями","","","","","","","","","","","","","","","","","","","","","","","",""
"mountain hiking","прогулки по горам","","","","","","","","","","","","","","","","","","","","","","","",""
"naked torso / topless man","голый торс мужчины","","","","","","","","","","","","","","","","","","","","","","","",""
"nosebleed","кровь из носа","","","","","","","","","","","","","","","","","","","","","","","",""
"piggy back ride","переноска на спине","","","","","","","","","","","","","","","","","","","","","","","",""
"pinky promise","обещание на мизинцах","","","","","","","","","","","","","","","","","","","","","","","",""
"picnick","пикник","","","","","","","","","","","","","","","","","","","","","","","",""
"prophetic dream","вещий сон","","","","","","","","","","","","","","","","","","","","","","","",""
"proposal","предложение","","","","","","","","","","","","","","","","","","","","","","","",""
"pour drinks like a pro","алкогольные выкрутасы","","","","","","","","","","","","","","","","","","","","","","","",""
"real tears crying","плакать настоящими слезами","","","","","","","","","","","","","","","","","","","","","","","",""
"rithual/exorcism","ритуал/экзорцизм","","","","","","","","","","","","","","","","","","","","","","","",""
"rock-paper-scissors","камень-ножницы-бумага","","","","","","","","","","","","","","","","","","","","","","","",""
"rumbling in the stomach","бурчание в животе","","","","","","","","","","","","","","","","","","","","","","","",""
"running / jogging","бег/пробежка","","","","","","","","","","","","","","","","","","","","","","","",""
"serious illness","тяжелая болезнь","심각한 병","","","","","","","","","","","","","","","","","","","","","","",""
"sharp car/motorbike turn","резкий поворот машины/мотоцикла","자동차/오토바이의 급회전","","","","","","","","","","","","","","","","","","","","","","",""
"shopping","покупки","","","","","","","","","","","","","","","","","","","","","","","",""
"signing a contract","подписание контракта","","","","","","","","","","","","","","","","","","","","","","","",""
"sign languages","жестовый язык","","","","","","","","","","","","","","","","","","","","","","","",""
"sleep in clothes","спать не раздеваясь","","","","","","","","","","","","","","","","","","","","","","","",""
"studies","учеба","","","","","","","","","","","","","","","","","","","","","","","",""
"suicide/attempted suicide","самоубийство/попытка самоубийства","","","","","","","","","","","","","","","","","","","","","","","",""
"teeth cleaning","чистить зубы","","","","","","","","","","","","","","","","","","","","","","","",""
"wedding","свадьба","","","","","","","","","","","","","","","","","","","","","","","",""
"washing ","стирка/мытье","","","","","","","","","","","","","","","","","","","","","","","",""
"waste sorting","сортировка мусора","","","","","","","","","","","","","","","","","","","","","","","",""
"apron","фартук","","","","","","","","","","","","","","","","","","","","","","","",""
"baseball bat","бейсбольная бита","","","","","","","","","","","","","","","","","","","","","","","",""
"baseball hat ","бейсболка","","","","","","","","","","","","","","","","","","","","","","","",""
"bicycle","велосипед","","","","","","","","","","","","","","","","","","","","","","","",""
"bouquet","букет","","","","","","","","","","","","","","","","","","","","","","","",""
"cash","наличные деньги","","","","","","","","","","","","","","","","","","","","","","","",""
"coffee maker","кофеварка","","","","","","","","","","","","","","","","","","","","","","","",""
"credit card","кредитная карта","","","","","","","","","","","","","","","","","","","","","","","",""
"designer“s / brend items","дизайнерские/брендовые вещи","","","","","","","","","","","","","","","","","","","","","","","",""
"drop counter","капельница","","","","","","","","","","","","","","","","","","","","","","","",""
"european cutlery","европейские столовые приборы","","","","","","","","","","","","","","","","","","","","","","","",""
"family pictures","семейные портреты","","","","","","","","","","","","","","","","","","","","","","","",""
"golf iron","клюшка для гольфа","","","","","","","","","","","","","","","","","","","","","","","",""
"hanbok","ханбок","","","","","","","","","","","","","","","","","","","","","","","",""
"handcuffs","наручники","수갑","","","","","","","","","","","","","","","","","","","","","","",""
"headphones / earphones","наушники","","","","","","","","","","","","","","","","","","","","","","","",""
"head rim","ободок на голову","","","","","","","","","","","","","","","","","","","","","","","",""
"kitchen knife","кухонный нож","","","","","","","","","","","","","","","","","","","","","","","",""
"medical mask","медицинская маска","","","","","","","","","","","","","","","","","","","","","","","",""
"medicine","лекарства","","","","","","","","","","","","","","","","","","","","","","","",""
"microwave","микроволновка","","","","","","","","","","","","","","","","","","","","","","","",""
"money count","банковская книжка","","","","","","","","","","","","","","","","","","","","","","","",""
"paired items","парные предметы","","","","","","","","","","","","","","","","","","","","","","","",""
"pan/saucepan","сковорода/кастрюля","","","","","","","","","","","","","","","","","","","","","","","",""
"patch","пластырь","","","","","","","","","","","","","","","","","","","","","","","",""
"people search flyer","листовка поска людей","","","","","","","","","","","","","","","","","","","","","","","",""
"ring","кольцо","","","","","","","","","","","","","","","","","","","","","","","",""
"Samsung or Apple phone","телефоны Самсунг или Айфон","","","","","","","","","","","","","","","","","","","","","","","",""
"scarf","шарф","","","","","","","","","","","","","","","","","","","","","","","",""
"scootter","мопед","","","","","","","","","","","","","","","","","","","","","","","",""
"slippers","домашние тапочки","","","","","","","","","","","","","","","","","","","","","","","",""
"soft toy","мягкая игрушка","","","","","","","","","","","","","","","","","","","","","","","",""
"shoes (close-up)","обувь (крупным планом)","","","","","","","","","","","","","","","","","","","","","","","",""
"sunglasses","темные очки","","","","","","","","","","","","","","","","","","","","","","","",""
"tickets","билеты","","","","","","","","","","","","","","","","","","","","","","","",""
"traditional chopsticks and spoon","традиционные приборы: палочки и ложка","","","","","","","","","","","","","","","","","","","","","","","",""
"umbrella","зонтик","","","","","","","","","","","","","","","","","","","","","","","",""
"wheelchair ","инвалидное кресло","","","","","","","","","","","","","","","","","","","","","","","",""
"works of art","произведение искусства","","","","","","","","","","","","","","","","","","","","","","","",""
"abalone ","каша с морским ушком","","","","","","","","","","","","","","","","","","","","","","","",""
"beer","пиво","","","","","","","","","","","","","","","","","","","","","","","",""
"cake with candles","торт со свечками","","","","","","","","","","","","","","","","","","","","","","","",""
"coffee","кофе","","","","","","","","","","","","","","","","","","","","","","","",""
"fried chicken","жареная курочка","","","","","","","","","","","","","","","","","","","","","","","",""
"grilled meat and offal","мясо и требуха на гриле","","","","","","","","","","","","","","","","","","","","","","","",""
"hangover cure","средства от похмелья","","","","","","","","","","","","","","","","","","","","","","","",""
"ice cream","мороженное","","","","","","","","","","","","","","","","","","","","","","","",""
"korean beef","корейская говядина","","","","","","","","","","","","","","","","","","","","","","","",""
"makgeolli","макголи","","","","","","","","","","","","","","","","","","","","","","","",""
"peeled and chopped fruits","очищенные и нарезанные фрукты","","","","","","","","","","","","","","","","","","","","","","","",""
"ramen","рамён","","","","","","","","","","","","","","","","","","","","","","","",""
"released tofu","тофу освобожденному ","","","","","","","","","","","","","","","","","","","","","","","",""
"samgyopsal","самгёпсаль","","","","","","","","","","","","","","","","","","","","","","","",""
"seaweed soup","суп из водорослей","","","","","","","","","","","","","","","","","","","","","","","",""
"soju","соджу","","","","","","","","","","","","","","","","","","","","","","","",""
"spicy chicken feet","острые куриные лапки","","","","","","","","","","","","","","","","","","","","","","","",""
"sunde","сунде","","","","","","","","","","","","","","","","","","","","","","","",""
"toppokki","топпокки","","","","","","","","","","","","","","","","","","","","","","","",""
"wine","вино","","","","","","","","","","","","","","","","","","","","","","","",""
"alien","инопланетянин","","","","","","","","","","","","","","","","","","","","","","","",""
"bandit","гангстер/бандит","","","","","","","","","","","","","","","","","","","","","","","",""
"Buddhist monks/nuns","буддистский монах/монахиня","","","","","","","","","","","","","","","","","","","","","","","",""
"Christian priests/monks/nuns","христианские священники/монахи/монашки","","","","","","","","","","","","","","","","","","","","","","","",""
"fan ","фанат","","","","","","","","","","","","","","","","","","","","","","","",""
"god","божество","","","","","","","","","","","","","","","","","","","","","","","",""
"hostage","заложник","인질","","","","","","","","","","","","","","","","","","","","","","",""
"K-pop artists/idols","айдол","","","","","","","","","","","","","","","","","","","","","","","",""
"neighbours","соседи","","","","","","","","","","","","","","","","","","","","","","","",""
"orphan","сирота","","","","","","","","","","","","","","","","","","","","","","","",""
"policeman","полицейский","","","","","","","","","","","","","","","","","","","","","","","",""
"procecutor","прокурор","","","","","","","","","","","","","","","","","","","","","","","",""
"rich chaebol","богатый наследник/чеболь","","","","","","","","","","","","","","","","","","","","","","","",""
"scientist","ученый","","","","","","","","","","","","","","","","","","","","","","","",""
"secretar","секретарь","","","","","","","","","","","","","","","","","","","","","","","",""
"serial killer","сериальный убийца","","","","","","","","","","","","","","","","","","","","","","","",""
"shaman","шаман","","","","","","","","","","","","","","","","","","","","","","","",""
"spirits/ghosts","дух/привидение","","","","","","","","","","","","","","","","","","","","","","","",""
"stalker","сталкер","","","","","","","","","","","","","","","","","","","","","","","",""
"zombie","зомби","","","","","","","","","","","","","","","","","","","","","","","",""
"childhood psychotrauma","детская психотравма","","","","","","","","","","","","","","","","","","","","","","","",""
"rigid hierarchy","жесткая иерархия","","","","","","","","","","","","","","","","","","","","","","","",""
"love triangle","любовный треугольник","","","","","","","","","","","","","","","","","","","","","","","",""
"respect for elders","уважение старших","","","","","","","","","","","","","","","","","","","","","","","",""
"nicknames instead of real names","прозвище вместо настоящего имени","","","","","","","","","","","","","","","","","","","","","","","",""
"hidden family secret","скрываемый семейный секрет","","","","","","","","","","","","","","","","","","","","","","","",""
"parental consent to marriage","согласие родителей на брак","","","","","","","","","","","","","","","","","","","","","","","",""
"bromance","броманс","","","","","","","","","","","","","","","","","","","","","","","",""
"time traveling","путешествие во времени","","","","","","","","","","","","","","","","","","","","","","","",""
"animation","анимация","","","","","","","","","","","","","","","","","","","","","","","",""
"split screen","разделение экрана","","","","","","","","","","","","","","","","","","","","","","","",""
"flash back","флешбэк","","","","","","","","","","","","","","","","","","","","","","","",""
"toilet humor","юмор ниже пояса","","","","","","","","","","","","","","","","","","","","","","","",""
"eye-catching product placement","вырвиглазная реклама","","","","","","","","","","","","","","","","","","","","","","","",""
"time disorder","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chinese characters/hieroglyphs for name ","китайские иероглифы имени","","","","","","","","","","","","","","","","","","","","","","","",""
"be pathetic","быть жалким","","","","","","","","","","","","","","","","","","","","","","","",""
"aigoo","о, боже!","","","","","","","","","","","","","","","","","","","","","","","",""
"infuriates ","бесит!","","","","","","","","","","","","","","","","","","","","","","","",""
"faiting","удачи!","","","","","","","","","","","","","","","","","","","","","","","",""
"That's ok","все в порядке","괜찮아","","","","","","","","","","","","","","","","","","","","","","",""
